Salinity,Temperature
33.4923,12.439
33.3053,15.814
33.5262,14.934
32.9364,14.147
33.5433,13.128
34.2753,5.762
34.2446,6.17
33.621,9.321
33.5905,12.005
33.5626,11.069
33.4363,16.958
33.2088,16.44
33.1254,14.503
33.2486,10.37
33.6701,14.48
33.8635,9.982
33.9788,8.869
33.6072,9.488
34.238,8.149
33.4058,11.83
34.1832,6.784
33.9978,7.996
33.1822,15.6
33.8659,16.467
34.17,7.43
33.5524,12.608
33.1897,15.67
33.9308,8.44
33.8263,9.548
33.9894,8.601
34.146,8.439
33.5627,11.185
33.9791,9.441
33.3423,15.647
32.9626,13.158
34.0026,7.562
33.5665,14.767
34.2568,6.513
33.6048,16.128
33.1379,13.147
33.2606,14.577
33.0111,15.445
33.7784,9.033
34.1704,7.121
33.2289,16.643
33.5276,16.235
33.1767,12.119
34.1676,6.547
32.901,14.543
33.5785,14.299
34.229,9.414
33.3244,12.509
33.5922,9.309
33.8009,10.067
33.2707,18.267
33.415,18.692
33.8598,9.599
34.2124,7.338
33.3756,10.235
33.3897,15.554
33.1398,12.318
33.3588,18.06
33.571,14.633
33.6712,15.434
34.2416,9.739
34.1008,6.983
34.0635,8.361
33.5294,9.198
34.042,7.538
34.2182,6.976
33.5235,9.686
33.991,8.009
33.2977,16.87
33.9996,7.961
33.5714,14.632
34.2267,6.606
33.2165,12.48
33.2137,14.024
34.2734,6.814
33.289,15.893
33.2051,13.384
34.3127,6.646
33.3025,19.391
34.0239,7.58
33.1963,13.305
33.558,18.223
34.2494,6.667
33.2641,18.606
33.4622,14.571
34.2598,6.033
33.8751,8.735
33.4349,11.741
33.4556,12.576
33.3255,10.088
34.1296,6.584
32.9136,14.041
33.5922,19.982
33.9094,9.652
33.23,16.451
33.4842,13.437
33.9895,6.049
33.4062,18.161
33.4556,13.345
33.3486,15.769
34.2081,5.893
34.0211,7.649
33.2349,12.334
34.1234,7.567
34.2482,5.692
33.1999,14.917
34.0664,8.504
33.9671,9.133
34.005,7.442
33.787,10.256
33.6702,11.108
33.3261,14.701
34.2582,6.086
34.2532,6.093
